ID,Type,Gender,Brand,Name,Color,Cost (USD),Expected Price (USD),Trip #,Sizes,Count
TN01,T,NG,Nike,Air Jordan Wordmark 85 Unisex,Grey,36.76,75.0,1,M,1
TN02,T,NG,Nike,Remera Jordan Washed Unisex,Beige,24.73,80.0,1,M,1
TN02,T,NG,Nike,Remera Jordan Washed Unisex,Beige,24.73,80.0,1,L,1
TN03,T,NG,Nike,Remera Jordan Washed Unisex,Blue,28.48,80.0,1,L,1
TN03,T,NG,Nike,Remera Jordan Washed Unisex,Blue,28.48,80.0,1,M,2
TN04,T,NG,Nike,Remera Air Jordan Unisex,Green,27.73,75.0,1,M,1
TM02,T,M,Nike,Remera Básica Jordan Flight,Black,15.93,70.0,1,L,1
TM02,T,M,Nike,Remera Básica Jordan Flight,Black,15.93,70.0,1,M,1
TM04,T,M,Nike,Remera Básica Jordan Flight,Blanco,15.93,70.0,1,M,1
TM04,T,M,Nike,Remera Básica Jordan Flight,Blanco,15.93,70.0,1,L,1
ON01,O,NG,Nike,Sobre Jordan Monogram Pink,Pink,27.73,75.0,1,NS,1
TM01,T,M,Nike,Remera Deportiva Ja Celeste,Skyblue,25.48,45.0,1,M,1
ON03,O,NG,Nike,Riñonera Jordan Beige,Beige,30.0,75.0,1,NS,1
TN05,T,NG,Nike,Remera Air Jordan Wordmark 85 Unisex,Black,27.73,75.0,1,L,1
TN05,T,NG,Nike,Remera Air Jordan Wordmark 85 Unisex,Black,27.73,75.0,1,M,1
TN05,T,NG,Nike,Remera Air Jordan Wordmark 85 Unisex,Black,27.73,75.0,1,S,1
TM03,T,M,Nike,Remera Deportiva Ja Negra,Black,25.48,45.0,1,L,1
TM03,T,M,Nike,Remera Deportiva Ja Negra,Black,25.48,45.0,1,M,1
JW02,J,W,Uniqlo,Campera Uniqlo UV Mujer,Black,40.0,110.0,1,S,2
JW02,J,W,Uniqlo,Campera Uniqlo UV Mujer,Black,40.0,110.0,1,M,2
JM05,J,M,Uniqlo,Uniqlo UltraLight Quilted Hombre ,Black,60.0,140.0,1,M,2
JM04,J,M,Uniqlo,Campera Uniqlo UV Hombre Negra,Black,40.0,110.0,1,S,1
JM04,J,M,Uniqlo,Campera Uniqlo UV Hombre Negra,Black,40.0,110.0,1,M,2
JM03,J,M,Uniqlo,Campera Uniqlo UV Hombre Azul,Azul,40.0,110.0,1,S,1
JM03,J,M,Uniqlo,Campera Uniqlo UV Hombre Azul,Azul,40.0,110.0,1,L,1
JW01,J,W,Uniqlo,Campera Uniqlo UltraLight Mujer,Black,40.0,130.0,1,S,2
